target_id,x,y,weight,cell_count,local_risk,service_time
312,223.4931,316.5841,13.9683,8,0.02361,1.0
169,36.0,157.416,13.89734,6,0.031587,1.0
345,123.0,351.2019,13.77304,6,0.077698,1.0
229,101.9522,213.4125,13.62801,6,0.587937,1.0
58,26.1154,46.4311,13.34067,6,0.310757,1.0
322,26.6237,327.9497,13.04931,6,0.142964,1.0
72,203.3761,59.9514,13.03217,6,0.025525,1.0
303,181.0,302.9373,13.02574,5,0.046415,1.0
288,78.5307,288.8867,12.99095,6,0.027557,1.0
111,152.5403,91.8081,12.97987,6,0.082598,1.0
354,127.1708,359.5611,12.97774,6,0.103033,1.0
321,190.0,328.9416,12.94252,6,0.125037,1.0
381,123.8941,389.6186,12.81803,6,0.030312,1.0
11,196.4935,10.499,12.25102,4,0.026591,1.0
205,32.4935,190.0713,12.18735,6,0.148016,1.0
370,134.5545,373.929,11.94205,6,0.107211,1.0
193,112.0,179.6651,11.93564,6,0.144247,1.0
162,111.0,153.4421,11.75507,5,0.036183,1.0
320,133.0,328.8883,11.63831,6,0.111221,1.0
194,176.495,179.016,11.52363,6,0.125409,1.0
66,103.6193,55.1465,11.41797,6,0.07931,1.0
174,146.0,160.6323,11.00788,6,0.031191,1.0
133,230.0,124.7836,10.95456,5,0.020344,1.0
368,17.2137,373.4055,10.78882,6,0.163013,1.0
212,94.0,197.0607,10.76529,5,0.551735,1.0
179,138.5225,162.4689,10.66343,4,0.017972,1.0
254,215.4524,238.4543,10.07924,4,0.110195,1.0
197,128.4538,182.4735,9.90429,4,0.050849,1.0
55,88.0,46.947,9.87019,5,0.074233,1.0
252,193.0,237.2882,9.72316,5,0.181975,1.0
165,59.4228,154.6484,9.60345,4,0.026233,1.0
137,99.947,126.4839,9.43214,6,0.037348,1.0
146,45.0,137.8063,9.38258,4,0.027466,1.0
88,141.5117,70.3809,9.3423,4,0.407184,1.0
298,70.6303,298.1764,9.22603,6,0.026843,1.0
140,83.5902,127.6185,9.17471,4,0.030529,1.0
248,228.0,233.0505,9.04152,3,0.083402,1.0
240,119.4193,229.0,9.01244,4,0.156636,1.0
359,154.0,368.2644,8.74824,5,0.383641,1.0
126,202.6121,113.5565,8.617,4,0.021267,1.0
343,78.5775,348.5408,8.5798,4,0.10671,1.0
272,85.4962,265.5637,8.3474,4,0.039179,1.0
143,18.1666,132.0,8.05653,3,0.022308,1.0
91,6.5646,75.5259,8.04073,4,0.046695,1.0
49,217.0,42.1016,7.79797,3,0.045915,1.0
69,91.4904,57.3348,7.63003,4,0.059684,1.0
73,69.0,61.2768,7.45168,4,0.318506,1.0
15,229.3774,15.6606,7.1644,4,0.034452,1.0
305,8.0,307.0922,7.13655,4,0.037322,1.0
334,116.0,339.7142,7.06915,3,0.042958,1.0
324,122.0,328.6161,6.98598,4,0.046481,1.0
161,138.3969,150.5667,6.93348,4,0.024633,1.0
295,35.9095,292.0,6.92856,3,0.021413,1.0
33,50.3835,28.3885,6.92143,4,0.222886,1.0
170,74.0,155.8708,6.81703,3,0.038048,1.0
200,95.6527,186.6609,6.62296,4,0.329209,1.0
227,149.3713,209.6645,6.40994,4,0.042474,1.0
163,204.0,153.9202,6.36356,3,0.02156,1.0
36,127.0,31.9418,6.32654,3,0.211882,1.0
68,85.0,57.5299,6.14903,2,0.09269,1.0
128,34.5129,118.4384,6.10847,4,0.016368,1.0
361,142.0,368.9989,6.10351,3,0.22466,1.0
260,25.0,250.0573,6.0341,3,0.081305,1.0
150,5.0,139.5006,6.01492,2,0.029767,1.0
103,69.0,89.4522,5.99832,4,0.078781,1.0
109,135.4654,90.0,5.90161,2,0.089842,1.0
158,153.0,148.5372,5.74305,2,0.026178,1.0
157,217.4362,144.0,5.72602,2,0.039265,1.0
116,13.0,102.5214,5.55023,2,0.032183,1.0
249,171.0,233.5831,5.45366,2,0.108859,1.0
301,195.0,300.006,5.43167,3,0.020331,1.0
365,179.0,370.6023,5.3801,2,0.260704,1.0
125,173.4737,112.0,5.33428,2,0.026717,1.0
78,210.638,67.6125,5.24777,4,0.021727,1.0
74,128.0,62.9012,5.18943,3,0.362117,1.0
64,136.0,53.3678,5.1706,2,0.561719,1.0
63,120.0,53.3698,5.1536,2,0.251443,1.0
213,39.4274,196.0,5.12031,2,0.135496,1.0
217,79.4242,198.4248,5.0658,4,0.407853,1.0
134,7.0,124.9601,5.0509,3,0.028638,1.0
233,55.0,220.485,5.04311,2,0.090067,1.0
172,117.4701,156.0,5.04267,2,0.046992,1.0
110,170.5597,90.0,4.99604,2,0.05772,1.0
132,112.0,122.524,4.97923,2,0.041217,1.0
108,42.6517,89.0,4.96035,2,0.14715,1.0
